,Restaurant,Type,Yelp,Notes,Address
98,Saigon Vietnamese Sandwich Deli,Sandwiches,https://www.yelp.com/biz/saigon-vietnamese-sandwich-deli-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,369 Broome St New York
99,Patacon Pisao,Sandwiches,https://www.yelp.com/biz/patacon-pisao-new-york-7?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,139 Essex St New York
100,Parisi Bakery,Sandwiches,https://www.yelp.com/biz/parisi-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,198 Mott St New York
101,Pisillo Italian Bakery,Sandwiches,https://www.yelp.com/biz/pisillo-italian-cafe-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,99 Nassau St New York
102,Croque Monsieur,Sandwiches,https://www.yelp.com/biz/la-maison-du-croque-monsieur-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,17 E 13th St New York
103,Meltkraft,Sandwiches,https://www.yelp.com/biz/meltkraft-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,Under Columbus Circle Subway New York
104,Melt Shop,Sandwiches,https://www.yelp.com/biz/melt-shop-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,135 W 50th St New York
105,Gaia Italian Cafe,Sandwiches,https://www.yelp.com/biz/gaia-italian-caf%C3%A9-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,251 E Houston St New York
106,Fiacco’s Italian Specialties,Sandwiches,https://www.yelp.com/biz/faiccos-italian-specialties-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,260 Bleecker St New York
107,Sunny & Annie’s,Sandwiches,https://www.yelp.com/biz/sunny-and-annies-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,94 Ave B New York
108,Taim,Sandwiches,https://www.yelp.com/biz/taim-west-village-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,222 Waverly Pl New York
109,Macaron Parlour,French Pastries,https://www.yelp.com/biz/macaron-parlour-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,44 Hester St New York
110,Eclair Bakery,French Pastries,https://www.yelp.com/biz/eclair-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,305 E 53rd St New York
111,Bouchon Bakery,French Pastries,https://www.yelp.com/biz/bouchon-bakery-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1 Rockefeller Plaza New York
112,Laduree Soho,French Pastries,https://www.yelp.com/biz/ladur%C3%A9e-soho-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,398 W Broadway New York
113,Epicurie Boulud,French Pastries,https://www.yelp.com/biz/bar-boulud-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1900 Broadway New York
114,Mille Feuille,French Pastries,https://www.yelp.com/biz/mille-feuille-bakery-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,2175 Broadway New York
115,Arcade Bakery,Viennoiseries,https://www.yelp.com/biz/arcade-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,220 Church St New York
116,Almondine Bakery,Viennoiseries,https://www.yelp.com/biz/almondine-bakery-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,85 Water St Brooklyn
117,Francois Payard Patisserie,Viennoiseries,https://www.yelp.com/biz/fp-patisserie-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1 W 59th St New York
118,Ceci Cela,Viennoiseries,https://www.yelp.com/biz/ceci-cela-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,14 Delancey St New York
119,Dominique Ansel Bakery,Viennoiseries,https://www.yelp.com/biz/dominique-ansel-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,189 Spring St New York
120,Jing Fong,Dim Sum,https://www.yelp.com/biz/jing-fong-new-york-6?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,380 Amsterdam Ave New York
121,Golden Unicorn,Dim Sum,https://www.yelp.com/biz/golden-unicorn-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,18 E Broadway New York
122,Nom Wah Tea Parlor,Dim Sum,https://www.yelp.com/biz/nom-wah-tea-parlor-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,13 Doyers St New York
123,Tai Pan,Chinese Baked Goods,https://www.yelp.com/biz/tai-pan-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,194 Canal St New York
124,Fay Da,Chinese Baked Goods,https://www.yelp.com/biz/fay-da-bakery-new-york-10?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,321 W 6th Ave New York
125,Lung Moon,Chinese Baked Goods,https://www.yelp.com/biz/lung-moon-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,81 Mulberry St New York
126,Manna House,Chinese Baked Goods,https://www.yelp.com/biz/manna-house-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,125 Mott St New York
127,Golden Steamer,Chinese Baked Goods,https://www.yelp.com/biz/golden-steamer-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,143-A Mott St New York
128,Mei Li Wah,Chinese Baked Goods,https://www.yelp.com/biz/mei-li-wah-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,64 Bayard St New York
129,East Village Thai,Thai,https://www.yelp.com/biz/east-village-thai-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,32 E 7th St New York
130,Kiin Thai,Thai,https://www.yelp.com/biz/kiin-thai-eatery-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,36 E 8th St New York
131,Somtum Der,Thai,https://www.yelp.com/biz/somtum-der-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,85 Ave A New York
132,Kin Shop,Thai,https://www.yelp.com/biz/somtum-der-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,85 Ave A New York
133,Thai Market,Thai,https://www.yelp.com/biz/thai-market-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,960 Amsterdam Ave New York
134,Pinto Thai,Thai,https://www.yelp.com/biz/pinto-garden-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,117 W 10th St New York
135,Klong Thai,Thai,https://www.yelp.com/biz/klong-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,7 St Marks Pl New York
136,The Lantern,Thai,https://www.yelp.com/biz/lantern-thai-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,311 2nd Ave New York
137,Pommes Frites,Sweet Treats,https://www.yelp.com/biz/pommes-frites-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,128 Macdougal St New York
138,Baked Tribeca,Sweet Treats,https://www.yelp.com/biz/baked-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,279 Church St New York
139,Chickalicious,Sweet Treats,https://www.yelp.com/biz/chikalicious-dessert-bar-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,203 E 10th St New York
140,Spot Dessert Bar,Sweet Treats,https://www.yelp.com/biz/spot-dessert-bar-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,13 St Marks Pl New York
141,Chobani Soho,Sweet Treats,https://www.yelp.com/biz/chobani-soho-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,152 Prince St New York
142,NYC Dosa,Indian,https://www.yelp.com/biz/ny-dosas-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,50 Washington Sq S New York
143,Doaba Deli,Indian,https://www.yelp.com/biz/doaba-deli-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,945 Columbus Ave New York
144,Indikitch,Indian,https://www.yelp.com/biz/indikitch-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,940 8th Ave New York
145,Milon Bangladesh,Indian,https://www.yelp.com/biz/milon-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,93 1st Ave New York
146,Ess-A-Bagel,Bagels,https://www.yelp.com/biz/ess-a-bagel-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,831 3rd Ave New York
147,Murray’s Bagels,Bagels,https://www.yelp.com/biz/murrays-bagels-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,500 Ave Of The Americas New York
148,Best Bagel & Coffee,Bagels,https://www.yelp.com/biz/best-bagel-and-coffee-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,225 W 35th St New York
149,Space Market NYU,Bagels,https://www.yelp.com/biz/eataly-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,200 5th Ave New York
150,Tompkins Square Bagels,Bagels,https://www.yelp.com/biz/tompkins-square-bagels-avenue-a-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,165 Avenue A New York
151,Brooklyn Bagel & Coffee,Bagels,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,286 8th Ave New York
152,Absolute Bagels,Bagels,https://www.yelp.com/biz/absolute-bagels-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,2788 Broadway New York
153,Baz Bagel,Bagels,https://www.yelp.com/biz/baz-bagel-and-restaurant-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,181 Grand St New York
154,H&H Bagel,Bagels,https://www.yelp.com/biz/h-and-h-midtown-bagels-east-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1551 2nd Ave New York
155,Russ & Daughters,Bagels,https://www.yelp.com/biz/russ-and-daughters-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,179 E Houston St New York
156,Tal Bagels,Bagels,https://www.yelp.com/biz/tal-bagels-new-york-7?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,357 1st Ave New York
157,Sadelle’s,Bagels,https://www.yelp.com/biz/sadelles-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,463 W Broadway New York
158,Kossar's,Bagels,https://www.yelp.com/biz/kossars-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,Get a bialy!,367 Grand St New York
159,Levain Bakery,Cookies,https://www.yelp.com/biz/levain-bakery-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,167 W 74th St New York
160,Culture Espresso,Cookies,https://www.yelp.com/biz/culture-espresso-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,72 W 38th St New York
161,Jacques Torres,Cookies,https://www.yelp.com/biz/jacques-torres-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,285 Amsterdam Ave New York
162,Momoya,Sushi,https://www.yelp.com/biz/momoya-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,185 7th Ave New York
163,Sakagura,Sushi,https://www.yelp.com/biz/sakagura-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,211 E 43rd St New York
164,Sushi of Gari,Sushi,https://www.yelp.com/biz/sushi-of-gari-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,402 E 78th St New York
165,Koi,Sushi,https://www.yelp.com/biz/koi-restaurant-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,40 W 40th St New York
166,Masakari (Sheepshead Bay),Sushi,https://www.yelp.com/biz/mitoushi-japanese-restaurant-brooklyn-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1221 Quentin Rd Brooklyn
167,Vivi’s Bubble Tea,Boba,https://www.yelp.com/biz/vivi-bubble-tea-new-york-6?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,49 Bayard St New York
168,Kung Fu Bubble Tea,Boba,https://www.yelp.com/biz/kung-fu-tea-bayside?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,42-21 Bell Blvd Bayside
169,ChaTime,Boba,https://www.yelp.com/biz/chatime-new-york-5?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,858 Lexington Ave New York
170,Ya Ya Tea Garden,Boba,https://www.yelp.com/biz/yaya-tea-garden-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,51 Chrystie St New York
171,Teado Tea Shop,Boba,https://www.yelp.com/biz/teado-tea-shop-new-york-6?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,145D Hester St New York
172,Tea Ren’s Tea Time,Boba,https://www.yelp.com/biz/cha-an-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,230 E 9th St New York
173,Bubbly Tea,Boba,https://www.yelp.com/biz/bubbly-tea-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,55B Bayard St New York
174,Cha Chan Tang,Boba,https://www.yelp.com/biz/cha-chan-tang-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,45 Mott St New York
175,Pa Tea,Boba,https://www.yelp.com/biz/patea-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,135 Mott St New York
176,Pies ‘n’ Thighs,Sectionless,https://www.yelp.com/biz/pies-n-thighs-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,166 S 4th St Brooklyn
177,S’mac,Sectionless,https://www.yelp.com/biz/smac-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,197 1st Ave New York
178,Potatopia,Sectionless,https://www.yelp.com/biz/potatopia-staten-island-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,2655 Richmond Ave Staten Island
179,Kobeyaki,Sectionless,https://www.yelp.com/biz/kobeyaki-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,293 7th Ave New York
180,East Japanese Market,Sectionless,https://www.yelp.com/biz/sunrise-mart-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,Sushi on a conveyor belt!! :o,4 Stuyvesant St New York
181,Minca,Sectionless,https://www.yelp.com/biz/minca-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,536 E 5th St New York
182,Nippori,Sectionless,https://www.yelp.com/biz/nippori-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,245 W 51st St New York
183,Milk and Honey,Sectionless,https://www.yelp.com/biz/milk-and-honey-cafe-brooklyn-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,1119 Newkirk Ave Brooklyn
184,Hong Kong Station ,Sectionless,https://www.yelp.com/biz/hong-kong-station-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,Create your own noodles!,157 W 47th St New York
185,Eataly,Sectionless,https://www.yelp.com/biz/eataly-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,Italian everything!,200 5th Ave New York
186,Two Hands ,Sectionless,https://www.yelp.com/biz/two-hands-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,Acai bowl is amazing,164 Mott St New York
187,Little Choc Apothecary,Sectionless,https://www.yelp.com/biz/little-choc-apothecary-brooklyn-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,141 Havemeyer St Brooklyn
188,Cotton Candy Machine ,Sectionless,https://www.yelp.com/biz/cotton-candy-clowns-bronx?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,3841 Bailey Ave Bronx
189,Roll-N-Roaster,Sectionless,https://www.yelp.com/biz/roll-n-roaster-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,Amazing roast beef in sheepshead bay,2901 Emmons Ave Brooklyn
190,Play J ice cream truck ,Sectionless,https://www.yelp.com/biz/chinatown-ice-cream-factory-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,Usually around St. Marks,65 Bayard St New York
191,Hirokos Place,Sectionless,https://www.yelp.com/biz/hi-collar-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,nan,214 E 10th St New York
192,Mac Bar ,Sectionless,https://www.yelp.com/biz/macbar-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,Not as good as S’mac but still good.,54 Prince St New York
